11/27/2024 08:33:30.008 | INFO  | cli-chess | main_model._start_loggers | cli-chess v1.4.1 // python 3.11.5
11/27/2024 08:33:30.008 | INFO  | cli-chess | main_model._start_loggers | System information: system=Windows // release=10 // machine=AMD64
11/27/2024 08:33:30.011 | DEBUG | cli-chess | argparse.parse_args | Parsed arguments: Namespace(token=None, reset_config=False, base_url='https://lichess.org', print_config=False)
11/27/2024 08:33:30.011 | DEBUG | cli-chess | token_manager_model.set_base_url | Base URL set to: https://lichess.org
11/27/2024 08:33:34.451 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.ONLINE_GAMES
11/27/2024 08:33:34.684 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.SETTINGS
11/27/2024 08:33:35.123 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.ONLINE_GAMES
11/27/2024 08:33:35.348 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.OFFLINE_GAMES
11/27/2024 08:33:36.034 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.ONLINE_GAMES
11/27/2024 08:33:36.213 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.SETTINGS
11/27/2024 08:33:38.215 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.ABOUT
11/27/2024 08:33:40.733 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.SETTINGS
11/27/2024 08:33:41.160 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.ONLINE_GAMES
11/27/2024 08:33:41.302 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.OFFLINE_GAMES
11/27/2024 08:33:47.541 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.SPECIFY_ELO
11/27/2024 08:33:47.857 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COMPUTER_SKILL_LEVEL
11/27/2024 08:33:52.530 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COMPUTER_SKILL_LEVEL
11/27/2024 08:33:52.753 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COMPUTER_SKILL_LEVEL
11/27/2024 08:33:54.207 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.SPECIFY_ELO
11/27/2024 08:33:54.857 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.VARIANT
11/27/2024 08:33:55.493 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.SPECIFY_ELO
11/27/2024 08:33:55.661 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COMPUTER_SKILL_LEVEL
11/27/2024 08:33:55.858 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COMPUTER_ELO
11/27/2024 08:33:56.859 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COMPUTER_ELO
11/27/2024 08:33:57.666 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COMPUTER_ELO
